stim,condition,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,RT_space,probe_response,probe_rt,ID,Sesion,date,exp_name,frame_rate,
5,go,0,0,0,4,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
1,go,0,1,1,0,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
6,no-go,0,2,2,5,-0.23876139998901635,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
2,go,0,3,3,1,-2.341033199976664,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
9,go,0,4,4,8,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
0,go,0,5,5,9,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
3,go,0,6,6,2,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
8,go,0,7,7,7,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
7,go,0,8,8,6,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
4,go,0,9,9,3,None,,,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
,,,,,,,2,15.353996700025164,S10,A,2023-02-14_17h21.25.106,SART,59.99106133363665,
